maailmankansalaisuus;global citizenship
majoitus;accommodation
aamiaismajoitus;B&B
poreallas;jacuzzi, hot tub, whirl pool
reppureissata;to backpack
esite;brochure
risteily;cruise
kahden hengen huone parivuoteella;double room
huone johon kuuluu oma kylpyhuone;en suite
vaihtokurssi;exchange rate
retki;excursion
matkalipun hinta;fare
ulkomaanvaluutta;foreign currency
lomakeskus;holiday resort
matkasuunnitelma;itinerary
huippusesongin ulkopuolella;off-season
menolippu (Am);one-way ticket
menolippu (Br);single
pakettimatka;package holiday
huippusesonki;peak season
asemalaituri;platform
varaus;reservation, booking
meno-paluulippu (Br);return ticket
meno-paluulippu (Am);round-trip ticket
yhden hengen huone;single room
saapua maahan tai kaupunkiin;to arrive in a country or a city
saapua lentokentälle;to arrive at the airport
varata;to book, to reserve
mennä vaeltamaan;to go hiking
ottaa aurinkoa;to sunbathe
mennä katselemaan nähtävyyksiä;to go sightseeing
nähtävyys;sight, tourist attraction
liftata;to hitchhike
turistirysä;tourist trap
matkatoimisto, matkatoimistovirkailja;travel agent
matkavakuutus;travel insurance
kahden hengen huone erillisillä vuoteilla;twin room
vapaa huone (hotellissa);vacancy
voimassa;valid
viisumi;visa
merimatka;voyage
lentolipun hinta;airfare
ikkunapaikka;window seat
käytäväpaikka;aisle seat
kuulutus;announcement
saapuvat lennot;arrivals
sallitut matkatavarat;baggage allowance
matkatavaroiden noutoalue;baggage reclaim
tarkistuskortti;boarding pass
nousta lentokoneeseen;to board a plane
matkustamohenkilökunta;cabin crew
käsimatkatavarat;carry-on luggage, hand luggage
ruumaan menevät matkatavarat;checked luggage
lähtöselvitys;check-in
ohjaamo;cockpit
maailmankansalainen;global citizen
jatkolento;connecting flight
liukuhihna;conveyor belt
tulli;customs
ilmoittaa, tullata;to declare
myöhässä;delayed
lähtöportti;departure gate
lähtevät lennot;departures
määränpää;destination
kotimaan-;domestic
ylimääräiset matkatavarat;excess baggage
lentoemäntä tai stuertti;flight attendant
käsimatkatavarat;hand luggage, carry-on luggage
laskeutua;to land
laskeutuminen;landing
metallinpaljastin;metal detector
matkatavarahylly;overhead compartment
ilmaiset virvokkeet;complimentary refreshments
kiitorata;runway
turvatarkastus;security check
nousta ilmaan;to take off
autolla;by car
rullata (lentokone kentällä);to taxi
laivalla, veneellä;by boat
lentokoneella;by plane
jalkaisin;on foot
mennä metrolla;to take the tube/subway/underground
automatka;road trip
interreilaus;interrail
sohvasurffaus;couchsurfing
kielletyt esineet;prohibited items
asuntoauto;recreational vehicle (RV)
matkustaa ulkomaille;to travel abroad
mennä lomalle;to go on vacation
välilasku;layover
päästökompensaatio;carbon offset
aikaero;time difference
aikaerorasitus;jetlag
rajavalvonta;border control
vastaanottovirkailija;concierge
ulkomaa;foreign country
ekoturismi;ecotourism
eettinen matkustaminen;ethical travel
kylpylä;spa
kaukokaipuu, matkakuume;wanderlust