veistos;sculpture
kangas;canvas
öljyvärimaalaus;oil painting
muotokuva;portrait
valokuvaus;photography
arkkitehtuuri;architecture
asettaa näytille;to exhibit, to display
näyttely;exhibition, display
estetiikka;aesthetics
kehys;frame
keramiikka;pottery
taidekokoelma;art collection
luonnos;sketch
maalausteline;easel
taltta;chisel
maisemamaalaus;landscape painting
mestariteos;masterpiece
nykytaide;contemporary art
omakuva;self-portrait
patsas;statue
taideteos;work of art, piece of art
taiteentuntija;connoisseur
väärennös;forgery
asetelma maalaustaiteessa;still life painting
installaatiotaide;installation art
graafinen suunnittelu;graphic design
alastonkuva;nude
poseerata;to pose
objektiivi, linssi;lens
kamerajalusta;tripod, camera stand
kuvakulma;angle
kollaasi;collage
taidegalleria;art gallery
kuvaukset;photo shoot
seinämaalaus;fresco, mural
kuvitus;illustration
ulkokuori, julkisivu;facade
kuraattori, taidenäyttelyn järjestäjä;curator
dokumenttielokuva;documentary
ohjaaja;director
elokuvakäsikirjoitus;screenplay
asettaa ehdolle;to nominate
avustaja elokuvan tai sarjan kuvauksissa;extra
kohtauksessa vilahtava kuuluisuus;cameo
tekstitykset;subtitles, captions
elokuva;film, flick, movie, motion picture
traileri, lyhyt elokuvan esittelypätkä;trailer, teaser
elokuvan ensi-ilta;film premiere
elokuvakeskus;multiplex cinema
jatko-osa;sequel
julkaista elokuva;to release a film
kassamagneetti;blockbuster, box office hit
kuvata elokuva;to shoot a film
sijaisnäyttelijä;stunt double
lopputekstit;credits
mykkäelokuva;silent movie
näytellä pääosaa elokuvassa;to star in a movie
Oscar-ehdokas;Oscar nominee
Oscar-palkinto;Oscar Award, Academy Award
tuotesijoittelu mainontamielessä;product placement
tuotelisenssien myyminen;franchising
tuottaja;producer
leikkaaja;editor
viimeinen versio;final cut
ohjaajan versio;director's cut
pienen tuotannon elokuva;independent film, indie film
loppu, joka jää kutkuttamaan;cliffhanger
sarja;series
katsoa jotain TV:stä;to watch something on TV
kirjasta tehty elokuva;movie adaptation
jakso (sarjasta);episode
kausi (sarjasta);season
erikoistehosteet;special effects
elokuvanäytös;screening
katsoja;viewer, spectator
elokuvan näyttelijät;cast
elokuvaaja;cinematographer
lähikuva;close-up
elokuvakriitikko;film critic
elokuvan tähtiluokitus tai ikäraja;rating
uusi versio (elokuvasta);remake
kanssanäyttelijä;co-star
elokuvan käsikirjoittaja;screenwriter
juontoteksti, dubbaus;voiceover
alkuperäissarjan inspiroima sarja;spin-off series
näyttelyn avajaiset;exhibition opening
toistuva aihe tai teema taiteellisessa teoksessa;motif
tulla ensi-iltaan;to premiere
suoratoistopalvelu;streaming service
kuvata, esittää;to portray
piirroselokuva;animation
sarjakuva;comic
piirretty;cartoon
elokuvajuliste;film poster
maalipensseli;paintbrush
tietokonegrafiikka;computer graphics
tulkita taidetta;to interpret art
elokuva-ala;film industry
tuottelias;prolific