keksintö;invention
kokeilla;to experiment
osallistua;to participate
todistaa;to prove
analysoida;to analyze
verrata;to compare
havaita;to detect
löytää;to discover
havainnoida;to observe
kerätä;to collect
suorittaa;to conduct
väittää;to claim
pohtia;to discuss
osoittaa;to show
tutkimus;research
osallistuja;participant
löytö;discovery
menetelmä;method
aineisto;data
analyysi;analysis
johdanto;introduction
pohdinta;discussion
teoria;theory
muuttuja;variable
väite;hypothesis
jakauma;distribution
taulukko;table
pätevä;valid
kokeellinen;experimental
laadullinen;qualitative
määrällinen;quantitative
tieteellinen;scientific
luotettava;reliable
järjestelmällinen;systematic
avoin;open-ended
puolueeton;impartial
subjektiivinen;subjective
epäluotettava;unreliable
oletettu;hypothetical
tapaustutkimus;case study
merkityksellinen;relevant
teoreettinen;theoretical
luottaa;to rely
analyyttinen;analytical
vertaileva;comparative
koota;to gather
tutkia;to study
objektiivinen;objective
kysely;poll
kyselyyn vastaaja;pollee
kaavio;graph
piirakkakaavio;pie chart
pylväsdiagrammi;bar chart
tutkimus;research paper
johtopäätös;conclusion
lähdeviitteet;references
liite;appendix
tarkkuus;accuracy
vertailukehittäminen;benchmarking
oppi;doctrine
ennakkoasenne;bias
syy-yhteys;causality
kohderyhmä;cohort 
vertailuryhmä;control group
korrelaatiokerroin;correlation coefficient
kenttätutkimukset;field studies
yleistettävyys;generalizability
virhemarginaali;margin of error
vertaisarviointi;peer review
satunnaisotanta;random sampling
pätevyys;validity
petrimalja;petri dish
koeputki;test tube
muuttumaton;constant
kylläisyys;saturation 
tiedeyhteisö;the scientific community
epätieteellinen;non-scientific
julkaista löydökset;to publish the findings
selvä tieteellinen näyttö;clear scientific evidence
mielipidekysely verkossa;online survey
lähestymistapa;approach
tutkia;to examine