lobata;to lobby
allekirjoittaa vetoomus;to sign a petition
hyväksyä sopimus, allekirjoittaa sopimus;to sign an agreement
ilmastolakko;climate strike
ympäristöpolitiikka;environmental policy
välinpitämättömyys;indifference
toimettomuus;inaction
neuvotella;to negotiate
ympäristöliike;environmental movement
kasvihuonekaasut;greenhouse gases
asumiskelpoinen;inhabitable
ilmakehä;atmosphere
lämpösäteily;thermal radiation
pilvipeite;cloud cover
päästää, lähettää;to emit
vähentää;to reduce
metaani;methane
otsonikerros;ozone layer
fossiiliset polttoaineet;fossil fuels
metsähakkuut;forest clearance
ennustaa tulevaisuutta;to predict the future
teknologiset edistysaskeleet;technological advancements
valtionapu, tukiainen;subsidy
ilmastonmuutoksen lieventäminen;climate change mitigation
kasvihuoneilmiö;greenhouse effect
hiilidioksidipäästöt;carbon dioxide emissions
vuosittainen sademäärä;annual precipitation
keskilämpötila;mean temperature
kuivuus, sateettomuus;drought
ultraviolettisäteily;ultraviolet radiation
pato;dam
napajäätiköt;polar ice caps
merivirtaukset;ocean currents
tulva;flood
aavikoituminen;desertification
fossiilinen polttoaine;fossil fuel
otsonikato;ozone depletion
luonnonkatastrofi;natural catastrophe
sää;weather
vuorovesi;tide
maanvyöry;landslide
rannikkoalue;coastal area
ympäristöaktivismi;environmental activism
ilmastonmuutos;climate change
ilmaston lämpeneminen;global warming
sulaa, sulattaa;to melt
nousevat lämpötilat;rising temperatures
merenpinnan nousu;rising sea levels
jäätikkö;glacier
merien happamoituminen;ocean acidification
ikirouta;permafrost
ilmastoahdistus;climate anxiety
maastopalo;wildfire, bushfire
ilmastonmuutoksen kieltäjä;climate change denier
lobbaaja, edunvalvoja;lobbyist
metsien häviäminen;deforestation
ääriluonnonilmiöt;extreme natural phenomena
ympäristöaktivisti;environmentalist
helpottaa, lievittää;to mitigate
tieteellinen todistusaineisto;scientific evidence
asumiskelvoton;uninhabitable
torjua, puuttua, käydä käsiksi;to tackle
metsänistutus;afforestation