ympäristö;the environment
luonto;nature
haihtuminen;evaporation
happi;oxygen
levät;algae
hedelmällinen;fertile
eroosio;erosion
kasvisto;flora
eläimistö;fauna
elinalue, kasvupaikka;habitat
luonnonsuojelualue;nature reserve
salametsästys;poaching
puutavara;timber
selluloosa;pulp
hakkuu;logging
sukupuuttoon kuoleminen;extinction
vieraslaji;invasive species
aavikko, autiomaa;desert
ruohotasanko;grassland
sademetsä;rainforest
savanni;savanna
uhanalainen laji/lajit;endangered species
luonnon monimuotoisuus;biodiversity
luonnonsuojelu;nature conservation
yhteyttäminen, fotosynteesi;photosynthesis
luonnontieteet;natural sciences
metsätalous;forestry
kuolla sukupuuttoon;to go extinct, to die out
ravintoketju;food chain
kasvillisuus;vegetation
kotoperäiset lajit;indigenous species
salametsästäjä;poacher
villieläimet;wildlife
luonnonsuojelu;conservation
kotieläin;domestic animal
karu, aavikkoinen, hedelmätön;barren
merieläimet;marine animals
ekologia, ympäristötiede;ecology
kädellinen;primate
nisäkäs;mammal
selkärangallinen;vertebrate
kasvinsyöjä;herbivore
lihansyöjä;carnivore
loinen;parasite
kaikkiruokainen;omnivore
petoeläin;predator
pussieläin;marsupial
matelija;reptile
saniainen;fern
havupuu;conifer
koivu;birch
kaarna;bark
hyönteinen;insect
sienet;fungi
puska, pensas;shrub
havumetsävyöhyke;boreal zone
trooppinen vyöhyke;tropical zone
lauhkea vyöhyke;temperate zone
lehvästö;foliage
ekosysteemi;ecosystem
luonnonsuojelija;conservationist
rehevöityminen;eutrophication
koralliriutta;coral reef
suo;bog, marsh, swamp
viidakko;jungle
metsä;forest, woods
marjastaa ja sienestää;to forage
salametsästää;to poach
metsästää riistaa;to hunt game