ulkoilma;outdoors
etelä;south
länsi;west
itä;east
pohjoinen;north
hylje;seal
valas;whale
talja;pelt, hide
nylkeä eläin;to skin an animal
karhunpentu;bear cub
majava;beaver
hanhi;goose
hirvi, hirvet;moose
vaeltaa, patikoida;to hike
telttailla;to camp
meloa;to canoe
metsä;forest, woods
kansallispuisto;national park
turkki;fur
reviiritietoinen;territorial
varusteet;equipment, gear
korkeus;altitude
leveyspiiri;latitude
valtameri;ocean
sorkka;hoof
biisoni;buffalo, bison
lämpöuupumus;heat exhaustion
lämpöhalvaus;heat stroke
vajaalämpöisyys;hypothermia
murmeli;groundhog, marmot
kolo;burrow
paleltuma;frostbite
kiikarit;binoculars
sytyttää nuotio;to start a campfire
ulkona viihtyvä;outdoorsy
pystyttää teltta;to pitch a tent
puistonhoitaja;park ranger
nukkua talviunta;to hibernate
mänty;pine
kuusi;spruce
koivu;birch
vuorikiipeilijä;mountaineer
jäkälä;lichen
sammal;moss
marjastaa ja sienestää;to forage
yöllinen, yö-;nocturnal
tähtikuvio;constellation
jyrsijä;rodent
ahven;perch
luonnon monimuotoisuus;biodiversity
puro, poukama;creek
metsästää riistaa;to hunt game
vaahtera;maple
petoeläin;predator
kasvinsyöjä;herbivore
kaikkiruokainen;omnivore
luonto, villieläimet ja kasvit;wildlife
suunnistaa;to orienteer
niemimaa;peninsula
vuorenhuippu;mountain peak
joentörmä;river bank
järvi;lake
saaristo;archipelago
vuono;fjord
vesiputous;waterfall
koski;rapids
muurahaispesä;ant hill
jokaisenoikeudet;everyman's rights
orava;squirrel
ilves;lynx
vaeltaa, kuljeksia;to wander
luonnonihme;natural wonder
laakso;valley
jyrkänne;cliff
haaskaeläin;scavenger
laji, lajit;species
luonnonsuojelu;nature conservation
ympäristö;environment
ketun pesä/luola;fox den
susilauma;wolf pack
ahma;wolverine
pöllö;owl
alppi-/vuoristomaisema;alpine landscape
idyllinen maisema;idyllic scenery
nisäkäs;mammal
näköala;view
suo, räme;swamp
kasvillisuus;vegetation
kasvisto ja eläimistö;flora and fauna
puolukka;lingonberry
maasto;terrain
mustikka;blueberry
lakka;cloudberry
pennut, poikaset;young
jänis, rusakko;hare
peura, peurat;deer
lohi, lohet;salmon
eräreitti;trail
maantiede, maasto;geography
geologia, maan ja maankamaran tutkimus;geology