pilvenpiirtäjä;skyscraper
rahoitusalalle omistettu kaupunginosa;financial district
keskipiste, napa;hub
sähkötolppa;pylon
kaupungistuminen;urbanization
esikaupunki, lähiö;suburb
omakotitalo;detached house
ylikansoitettu;overcrowded, overpopulated
kaupunkisuunnittelu;urban planning
pysäköintiruutu;parking space
korttelinväli, asuintalo;block
kerrostalo;apartment building, block of flats, high-rise
tavaratalo;department store
kaupallinen alue;commercial district
kaupunkilainen;city-dweller
julkisivu;facade
pääkaupunkiseutu;metropolitan area
tiheään asuttu;dense
ikoninen maamerkki;iconic landmark
täynnä ihmisiä;crowded
asuinalue;residential area
ympäristöystävällinen kaupunki;sustainable city
arkkitehtuuri;architecture
arkkitehti;architect
vuokrasopimus;lease agreement
asukasluku;population
satama;harbour
melusaaste;noise pollution
puisto;park
liukuportaat;escalator
hissi;elevator
vuokrata;to rent
antaa vuokralle;to let
asuntolaina;mortgage
sälekaihtimet;blinds
pakokaasut;exhaust fumes
kerros;floor
saastesumu;smog
sähkö- ja vesilasku;utility bill
eriste;insulation
asukas;occupant
aukio, tori;square
kiinteistönvälittäjä;real estate agent
vuokralainen;tenant
kaupunkiviljely;urban farming
viereinen;adjacent
jätehuolto, viemäröinti;sanitation
jalankulkijoiden alue;pedestrian precinct, pedestrian zone
talon asukas;resident
rakennustyömaa;construction site
jalkakäytävä;pavement, sidewalk
neliömetri;square metre
mukavuudet, palvelut;amenities
monikerroksinen;multi-storey
paritalo;semi-detached house, duplex
ilmastointi;air conditioning (AC)
sähkö;electricity
kiinteistön arvo;property value
ostoskeskus;shopping centre, mall
välttämättömät edellytykset, infrastruktuuri;infrastructure
pilata näköala;to spoil the view
rivitalo;townhouse, terraced house, row house
asuinympäristö;living environment
liikenneonnettomuus;traffic accident
kolari, yhteentörmäys;collision
liikenneympyrä;traffic circle, roundabout
raitiovaunu;tram
autoilija;motorist
täpötäysi;jam-packed
pysäköintialue;parking lot, car park
matkustaa töihin;to commute
julkinen liikenne;public transportation, mass transit
työmatkalainen;commuter
kattoterassi;rooftop terrace
sähkön latauspiste;electrical charging station
ajoneuvo;vehicle
liikenneruuhka;traffic congestion
sähköauto;electric car
ajokortti;driver's licence
ajaa polkupyörällä;to ride a bicycle
sähköpotkulauta;electric scooter
jalankulkija;pedestrian
suojatie;zebra crossing, pedestrian crossing, crosswalk
moottoritie;freeway, highway, motorway
asunto, huoneisto;apartment, flat
betoni;concrete
pysäköinninvalvoja;traffic warden, traffic cop
umpikuja;cul-de-sac, dead end, blind alley
kaksikaistainen tie;dual carriageway
töötätä;to sound the horn, to honk the horn
kaupungin horisontti;city skyline
asukas;inhabitant
ruuhka-aika;rush hour
liikennekuolema;traffic casualty, road casualty
vuokranantaja;landlord
ohituskaista;fast lane
ohittaa;to bypass
risteys;crossroads, intersection, junction
slummi, köyhä asuinalue;slum
parveke;balcony