lähteä matkaan;to embark on a journey
majoitus;accommodation
aamiaismajoitus;B&B
poreallas;jacuzzi, hot tub
reppureissata;to backpack
esite;brochure
risteily;cruise
kahden hengen huone parivuoteella;double room
huone johon kuuluu oma kylpyhuone;en suite
vaihtokurssi;exchange rate
retki;excursion
matkalipun hinta;fare
ulkomaanvaluutta;foreign currency
täysihoito;full board, all-inclusive
lomakeskus;holiday resort
matkasuunnitelma;itinerary
huippusesongin ulkopuolella;off-season
menolippu (Am);one-way ticket
menolippu (Br);single ticket
pakettimatka;package holiday
huippusesonki;peak season
asemalaituri;platform
varaus;reservation, booking
meno-paluulippu (Br);return ticket
meno-paluulippu (Am);round-trip ticket
yhden hengen huone;single room
saapua maahan tai kaupunkiin;to arrive in a country or city
saapua lentokentälle;to arrive at the airport
varata;to book, to reserve
ympäristöä säästävä matkustaminen;sustainable travel
ottaa aurinkoa;to sunbathe
mennä katselemaan nähtävyyksiä;to go sightseeing
nähtävyys;sight, attraction
hygieniatuotteet;toiletries
turistirysä;tourist trap
matkatoimisto, matkatoimistovirkailja;travel agent
matkavakuutus;travel insurance
kahden hengen huone erillisillä vuoteilla;twin room
vapaa huone (hotellissa);vacancy
voimassaoleva passi;valid passport
viisumi;visa
merimatka;voyage
lentolipun hinta;airfare
ikkunapaikka;window seat
käytäväpaikka;aisle seat
kuulutus;announcement
saapuvat lennot;arrivals
sallitut matkatavarat;baggage allowance
matkatavaroiden noutoalue;baggage reclaim
tarkistuskortti;boarding pass
nousta lentokoneeseen;to board a plane
matkustamohenkilökunta;cabin crew
käsimatkatavarat;carry-on luggage, hand luggage
ruumaan menevät matkatavarat;checked luggage
lähtöselvitys;check-in
ohjaamo;cockpit
ilmaiset virvokkeet;complimentary refreshments
jatkolento;connecting flight
liukuhihna;conveyer belt
tulli;customs
ilmoittaa, tullata;to declare
viivästys;delay
myöhässä;delayed
lähtöportti;departure gate
lähtevät lennot;departures
määränpää;destination
kotimaan-;domestic
ylimääräiset matkatavarat;excess baggage
matkustamon henkilökunnan jäsen;flight attendant
kuvankaunis, maalauksellinen;picturesque
laskeutua;to land
laskeutuminen;landing
metallinpaljastin;metal detector
matkatavarahylly;overhead compartment
matkustusrajoite;travel restriction
kiitorata;runway
turvatarkastus;security check
välilasku, pidempi pysähdys matkalla;stopover
nousta ilmaan;to take off
autolla;by car
rullata (lentokone kentällä);to taxi
laivalla, veneellä;by boat
lentokoneella;by plane
jalkaisin;on foot
metrolla;by tube, underground, subway, metro
automatka;road trip
nestesäiliö;liquid container
sohvasurffaus;couchsurfing
kielletty esine;prohibited item
asuntoauto;recreational vehicle (RV)
mennä ulkomaille;to go abroad, to go  overseas
mennä lomalle;to go on holiday, to go        on vacation
välilasku, lyhyt pysähdys matkalla;layover
päästökompensaatio;carbon offset
aikaero;time difference
aikaerorasitus;jetlag
rajavalvonta;border control
vastaanottovirkailija;concierge
ulkomaa;foreign country
rokotustodistus;vaccination certificate